measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,United Kingdom,Male,5 to 9,Diabetes and kidney diseases,Number,2017,4916.64778073,6375.60711081,3619.68740322
Prevalence,United Kingdom,Female,5 to 9,Diabetes and kidney diseases,Number,2017,5199.27613894,6598.67134881,3932.6231716
Prevalence,United Kingdom,Both,5 to 9,Diabetes and kidney diseases,Number,2017,10115.9239197,12706.6880352,7619.78203329
Prevalence,United Kingdom,Male,5 to 9,Diabetes and kidney diseases,Percent,2017,0.00298857556698,0.00397116296891,0.00218101497807
Prevalence,United Kingdom,Female,5 to 9,Diabetes and kidney diseases,Percent,2017,0.0032019690095,0.00411722406966,0.00240722016146
Prevalence,United Kingdom,Both,5 to 9,Diabetes and kidney diseases,Percent,2017,0.00309288313318,0.00394620025918,0.00233184898751
Prevalence,United Kingdom,Male,5 to 9,Diabetes and kidney diseases,Rate,2017,234.54507874799998,304.143664253,172.674534539
Prevalence,United Kingdom,Female,5 to 9,Diabetes and kidney diseases,Rate,2017,260.104529262,330.112165438,196.737597981
Prevalence,United Kingdom,Both,5 to 9,Diabetes and kidney diseases,Rate,2017,247.021065907,310.285016725,186.067698293
Prevalence,United Kingdom,Male,10 to 14,Diabetes and kidney diseases,Number,2017,12657.2122003,15561.9193002,9831.63941214
Prevalence,United Kingdom,Female,10 to 14,Diabetes and kidney diseases,Number,2017,16726.2035655,19914.155272,13631.8074519
Prevalence,United Kingdom,Both,10 to 14,Diabetes and kidney diseases,Number,2017,29383.4157658,35274.1882018,23795.1559978
Prevalence,United Kingdom,Male,10 to 14,Diabetes and kidney diseases,Percent,2017,0.00773490596145,0.00952877135975,0.00597456572043
Prevalence,United Kingdom,Female,10 to 14,Diabetes and kidney diseases,Percent,2017,0.01031841294,0.012278500292,0.00838631164855
Prevalence,United Kingdom,Both,10 to 14,Diabetes and kidney diseases,Percent,2017,0.00901964763772,0.0108435121852,0.00722457075041
Prevalence,United Kingdom,Male,10 to 14,Diabetes and kidney diseases,Rate,2017,651.60326048,801.1398714730001,506.140546231
Prevalence,United Kingdom,Female,10 to 14,Diabetes and kidney diseases,Rate,2017,903.1982750139999,1075.34448086,736.1039776690001
Prevalence,United Kingdom,Both,10 to 14,Diabetes and kidney diseases,Rate,2017,774.397492557,929.648312952,627.119368509
Prevalence,United Kingdom,Male,15 to 19,Diabetes and kidney diseases,Number,2017,38104.3556536,45732.455517,31581.6011475
Prevalence,United Kingdom,Female,15 to 19,Diabetes and kidney diseases,Number,2017,52314.9804476,63889.3560206,42312.4862235
Prevalence,United Kingdom,Both,15 to 19,Diabetes and kidney diseases,Number,2017,90419.3361012,108927.073879,74361.8615212
Prevalence,United Kingdom,Male,15 to 19,Diabetes and kidney diseases,Percent,2017,0.021828430184,0.0264663268102,0.0181479511088
Prevalence,United Kingdom,Female,15 to 19,Diabetes and kidney diseases,Percent,2017,0.0297940460652,0.0363384962546,0.0240778493449
Prevalence,United Kingdom,Both,15 to 19,Diabetes and kidney diseases,Percent,2017,0.0258223164912,0.0311516052379,0.0211840568387
Prevalence,United Kingdom,Male,15 to 19,Diabetes and kidney diseases,Rate,2017,1974.3978452600002,2369.6519750099997,1636.4177844199999
Prevalence,United Kingdom,Female,15 to 19,Diabetes and kidney diseases,Rate,2017,2839.3669625899997,3467.55986897,2296.4870570499997
Prevalence,United Kingdom,Both,15 to 19,Diabetes and kidney diseases,Rate,2017,2396.8584510700002,2887.4662083900002,1971.20288546
Prevalence,United Kingdom,Male,20 to 24,Diabetes and kidney diseases,Number,2017,96039.4066924,112882.87039,79815.6266631
Prevalence,United Kingdom,Female,20 to 24,Diabetes and kidney diseases,Number,2017,109510.833703,126361.936619,92580.4437029
Prevalence,United Kingdom,Both,20 to 24,Diabetes and kidney diseases,Number,2017,205550.240395,238587.952402,173588.356185
Prevalence,United Kingdom,Male,20 to 24,Diabetes and kidney diseases,Percent,2017,0.0485447941627,0.0568391304135,0.0404188979894
Prevalence,United Kingdom,Female,20 to 24,Diabetes and kidney diseases,Percent,2017,0.054229023085,0.0623903947584,0.0458024322132
Prevalence,United Kingdom,Both,20 to 24,Diabetes and kidney diseases,Percent,2017,0.051415313928,0.059681068193,0.0434772503997
Prevalence,United Kingdom,Male,20 to 24,Diabetes and kidney diseases,Rate,2017,4523.34588652,5316.65370522,3759.22445776
Prevalence,United Kingdom,Female,20 to 24,Diabetes and kidney diseases,Rate,2017,5298.85548619,6114.22284407,4479.65169693
Prevalence,United Kingdom,Both,20 to 24,Diabetes and kidney diseases,Rate,2017,4905.871354010001,5694.38303186,4143.036477889999
Prevalence,United Kingdom,Male,25 to 29,Diabetes and kidney diseases,Number,2017,151979.430704,175080.01946,128953.272824
Prevalence,United Kingdom,Female,25 to 29,Diabetes and kidney diseases,Number,2017,172493.146221,197896.96943,145769.585714
Prevalence,United Kingdom,Both,25 to 29,Diabetes and kidney diseases,Number,2017,324472.576925,370677.840603,274730.303386
Prevalence,United Kingdom,Male,25 to 29,Diabetes and kidney diseases,Percent,2017,0.0672199342082,0.0775465014026,0.0568137245186
Prevalence,United Kingdom,Female,25 to 29,Diabetes and kidney diseases,Percent,2017,0.0745591952201,0.0853946099842,0.0629625880763
Prevalence,United Kingdom,Both,25 to 29,Diabetes and kidney diseases,Percent,2017,0.0709313530793,0.0810825055715,0.059814674852
Prevalence,United Kingdom,Male,25 to 29,Diabetes and kidney diseases,Rate,2017,6422.30797033,7398.486750579999,5449.27447107
Prevalence,United Kingdom,Female,25 to 29,Diabetes and kidney diseases,Rate,2017,7358.7013781099995,8442.4496484,6218.65201474
Prevalence,United Kingdom,Both,25 to 29,Diabetes and kidney diseases,Rate,2017,6888.282252999999,7869.18147354,5832.2952624
Prevalence,United Kingdom,Male,30 to 34,Diabetes and kidney diseases,Number,2017,179802.779979,205722.214529,155227.259582
Prevalence,United Kingdom,Female,30 to 34,Diabetes and kidney diseases,Number,2017,205349.982485,237152.470898,176061.885914
Prevalence,United Kingdom,Both,30 to 34,Diabetes and kidney diseases,Number,2017,385152.762464,440202.160817,331962.062471
Prevalence,United Kingdom,Male,30 to 34,Diabetes and kidney diseases,Percent,2017,0.0793901144553,0.0906612487226,0.0686615515371
Prevalence,United Kingdom,Female,30 to 34,Diabetes and kidney diseases,Percent,2017,0.0892658082776,0.102994435146,0.0765709032565
Prevalence,United Kingdom,Both,30 to 34,Diabetes and kidney diseases,Percent,2017,0.0843659923024,0.0964828145301,0.072892866388
Prevalence,United Kingdom,Male,30 to 34,Diabetes and kidney diseases,Rate,2017,7669.41969787,8775.00339306,6621.16015348
Prevalence,United Kingdom,Female,30 to 34,Diabetes and kidney diseases,Rate,2017,8841.31810511,10210.5703115,7580.32272862
Prevalence,United Kingdom,Both,30 to 34,Diabetes and kidney diseases,Rate,2017,8252.632583440001,9432.17094541,7112.9203791400005
Prevalence,United Kingdom,Male,35 to 39,Diabetes and kidney diseases,Number,2017,196008.213147,223573.315891,171025.398457
Prevalence,United Kingdom,Female,35 to 39,Diabetes and kidney diseases,Number,2017,217030.177019,252002.569496,188538.989075
