Popolazione residente al 1° Gennaio 2019 per età sesso e stato civile
"Provincia:","Lodi","Codice Provincia:","098"
"Codice comune","Denominazione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
"098001","Abbadia Cerreto",0,0,0,0,0,,,,0,1,0,0,0,,,,1
"098001","Abbadia Cerreto",1,0,0,0,0,,,,0,1,0,0,0,,,,1
"098001","Abbadia Cerreto",2,2,0,0,0,,,,2,1,0,0,0,,,,1
"098001","Abbadia Cerreto",3,0,0,0,0,,,,0,1,0,0,0,,,,1
"098001","Abbadia Cerreto",4,1,0,0,0,,,,1,0,0,0,0,,,,0
"098001","Abbadia Cerreto",5,3,0,0,0,,,,3,2,0,0,0,,,,2
"098001","Abbadia Cerreto",6,0,0,0,0,,,,0,0,0,0,0,,,,0
"098001","Abbadia Cerreto",7,3,0,0,0,,,,3,0,0,0,0,,,,0
"098001","Abbadia Cerreto",8,2,0,0,0,,,,2,1,0,0,0,,,,1
"098001","Abbadia Cerreto",9,2,0,0,0,,,,2,0,0,0,0,,,,0
"098001","Abbadia Cerreto",10,1,0,0,0,,,,1,0,0,0,0,,,,0
"098001","Abbadia Cerreto",11,2,0,0,0,,,,2,2,0,0,0,,,,2
"098001","Abbadia Cerreto",12,1,0,0,0,,,,1,1,0,0,0,,,,1
"098001","Abbadia Cerreto",13,1,0,0,0,,,,1,0,0,0,0,,,,0
"098001","Abbadia Cerreto",14,3,0,0,0,,,,3,0,0,0,0,,,,0
"098001","Abbadia Cerreto",15,2,0,0,0,,,,2,1,0,0,0,,,,1
"098001","Abbadia Cerreto",16,1,0,0,0,,,,1,0,0,0,0,,,,0
"098001","Abbadia Cerreto",17,1,0,0,0,,,,1,2,0,0,0,,,,2
"098001","Abbadia Cerreto",18,0,0,0,0,,,,0,0,0,0,0,,,,0
"098001","Abbadia Cerreto",19,1,0,0,0,,,,1,2,0,0,0,,,,2
"098001","Abbadia Cerreto",20,2,0,0,0,,,,2,2,0,0,0,,,,2
"098001","Abbadia Cerreto",21,4,0,0,0,,,,4,0,0,0,0,,,,0
"098001","Abbadia Cerreto",22,1,0,0,0,,,,1,0,0,0,0,,,,0
"098001","Abbadia Cerreto",23,0,0,0,0,,,,0,0,0,0,0,,,,0
"098001","Abbadia Cerreto",24,2,0,0,0,,,,2,3,0,0,0,,,,3
"098001","Abbadia Cerreto",25,0,0,0,0,,,,0,0,0,0,0,,,,0
"098001","Abbadia Cerreto",26,1,0,0,0,,,,1,2,0,0,0,,,,2
"098001","Abbadia Cerreto",27,0,0,0,0,,,,0,2,1,0,0,,,,3
"098001","Abbadia Cerreto",28,0,0,0,0,,,,0,1,0,0,0,,,,1
"098001","Abbadia Cerreto",29,4,0,0,0,,,,4,0,0,0,0,,,,0
"098001","Abbadia Cerreto",30,4,0,0,0,,,,4,0,1,0,0,,,,1
"098001","Abbadia Cerreto",31,1,0,0,0,,,,1,1,0,0,0,,,,1
"098001","Abbadia Cerreto",32,0,1,0,0,,,,1,1,2,0,0,,,,3
"098001","Abbadia Cerreto",33,0,1,0,0,,,,1,1,0,0,0,,,,1
"098001","Abbadia Cerreto",34,1,0,0,0,,,,1,0,0,0,0,,,,0
"098001","Abbadia Cerreto",35,0,2,0,0,,,,2,0,1,0,0,,,,1
"098001","Abbadia Cerreto",36,1,0,0,0,,,,1,0,3,0,0,,,,3
"098001","Abbadia Cerreto",37,1,0,0,0,,,,1,1,2,0,0,,,,3
"098001","Abbadia Cerreto",38,0,1,0,0,,,,1,2,1,0,0,,,,3
"098001","Abbadia Cerreto",39,0,0,0,0,,,,0,1,3,0,0,,,,4
"098001","Abbadia Cerreto",40,0,2,0,0,,,,2,0,1,0,0,,,,1
"098001","Abbadia Cerreto",41,0,2,0,0,,,,2,1,2,0,0,,,,3
"098001","Abbadia Cerreto",42,0,0,0,0,,,,0,0,3,0,0,,,,3
"098001","Abbadia Cerreto",43,1,2,0,0,,,,3,2,2,0,0,,,,4
"098001","Abbadia Cerreto",44,1,5,0,0,,,,6,0,4,0,0,,,,4
"098001","Abbadia Cerreto",45,1,1,0,0,,,,2,1,1,0,0,,,,2
"098001","Abbadia Cerreto",46,2,2,0,0,,,,4,1,2,0,0,,,,3
"098001","Abbadia Cerreto",47,0,1,0,0,,,,1,0,3,0,0,,,,3
"098001","Abbadia Cerreto",48,0,3,0,0,,,,3,1,1,0,0,,,,2
"098001","Abbadia Cerreto",49,0,2,0,0,,,,2,2,2,0,0,,,,4
"098001","Abbadia Cerreto",50,0,1,0,0,,,,1,0,1,0,0,,,,1
"098001","Abbadia Cerreto",51,0,2,0,0,,,,2,0,1,0,0,,,,1
"098001","Abbadia Cerreto",52,2,4,1,0,,,,7,0,2,0,0,,,,2
"098001","Abbadia Cerreto",53,0,1,0,0,,,,1,1,3,0,0,,,,4
"098001","Abbadia Cerreto",54,0,2,0,0,,,,2,0,2,0,0,,,,2
"098001","Abbadia Cerreto",55,0,0,0,0,,,,0,0,0,1,0,,,,1
"098001","Abbadia Cerreto",56,0,1,0,0,,,,1,0,1,0,0,,,,1
"098001","Abbadia Cerreto",57,1,1,0,0,,,,2,1,1,0,0,,,,2
"098001","Abbadia Cerreto",58,0,3,0,0,,,,3,1,3,0,0,,,,4
"098001","Abbadia Cerreto",59,0,2,0,0,,,,2,0,0,0,0,,,,0
"098001","Abbadia Cerreto",60,0,1,0,0,,,,1,0,4,0,0,,,,4
"098001","Abbadia Cerreto",61,0,2,0,0,,,,2,0,0,0,0,,,,0
"098001","Abbadia Cerreto",62,0,0,0,0,,,,0,0,0,0,1,,,,1
"098001","Abbadia Cerreto",63,1,2,1,0,,,,4,0,1,0,0,,,,1
"098001","Abbadia Cerreto",64,0,0,0,0,,,,0,1,3,0,0,,,,4
"098001","Abbadia Cerreto",65,1,2,0,0,,,,3,0,2,0,0,,,,2
"098001","Abbadia Cerreto",66,0,0,0,0,,,,0,0,1,0,0,,,,1
"098001","Abbadia Cerreto",67,0,3,0,0,,,,3,0,2,0,0,,,,2
"098001","Abbadia Cerreto",68,1,0,0,0,,,,1,0,1,0,0,,,,1
"098001","Abbadia Cerreto",69,0,2,0,0,,,,2,1,2,0,0,,,,3
"098001","Abbadia Cerreto",70,0,3,1,0,,,,4,0,4,0,0,,,,4
"098001","Abbadia Cerreto",71,0,0,0,0,,,,0,0,0,0,0,,,,0
"098001","Abbadia Cerreto",72,0,1,0,0,,,,1,0,1,0,0,,,,1
"098001","Abbadia Cerreto",73,0,0,0,0,,,,0,0,1,0,0,,,,1
"098001","Abbadia Cerreto",74,1,2,0,0,,,,3,0,2,0,0,,,,2
"098001","Abbadia Cerreto",75,0,2,0,0,,,,2,0,0,0,0,,,,0
"098001","Abbadia Cerreto",76,0,1,0,0,,,,1,0,1,0,3,,,,4
"098001","Abbadia Cerreto",77,0,3,0,0,,,,3,0,1,0,1,,,,2
