Denominazione,ageRange,tot2015,tot2016,tot2017,tot2018,tot2019
Abbadia Cerreto,0-20,48,45,43,45,38
Abbadia Cerreto,21-40,71,66,62,64,57
Abbadia Cerreto,41-50,57,54,55,56,52
Abbadia Cerreto,51-60,35,40,41,38,43
Abbadia Cerreto,61-70,36,37,38,35,32
Abbadia Cerreto,71-80,36,32,27,32,38
Abbadia Cerreto,81+,14,15,18,19,17
Bertonico,0-20,190,190,181,190,200
Bertonico,21-40,255,234,231,222,218
Bertonico,41-50,167,179,179,168,164
Bertonico,51-60,158,160,162,167,165
Bertonico,61-70,160,140,134,130,130
Bertonico,71-80,137,147,146,139,135
Bertonico,81+,91,93,99,111,106
Boffalora d'Adda,0-20,367,371,372,371,354
Boffalora d'Adda,21-40,422,391,366,386,389
Boffalora d'Adda,41-50,350,348,345,343,337
Boffalora d'Adda,51-60,232,250,252,272,286
Boffalora d'Adda,61-70,180,174,173,170,168
Boffalora d'Adda,71-80,134,126,136,135,140
Boffalora d'Adda,81+,76,87,85,92,96
Borghetto Lodigiano,0-20,802,796,749,754,767
Borghetto Lodigiano,21-40,1029,1005,969,925,902
Borghetto Lodigiano,41-50,760,719,705,694,692
Borghetto Lodigiano,51-60,624,635,630,661,659
Borghetto Lodigiano,61-70,536,551,558,556,553
Borghetto Lodigiano,71-80,374,378,376,388,414
Borghetto Lodigiano,81+,346,338,328,321,323
Borgo San Giovanni,0-20,509,529,535,535,522
Borgo San Giovanni,21-40,590,582,581,607,595
Borgo San Giovanni,41-50,448,457,437,425,409
Borgo San Giovanni,51-60,304,308,340,352,382
Borgo San Giovanni,61-70,265,267,263,266,251
Borgo San Giovanni,71-80,158,163,158,167,177
Borgo San Giovanni,81+,85,82,93,93,101
Brembio,0-20,442,426,416,430,445
Brembio,21-40,608,604,591,613,604
Brembio,41-50,466,466,443,438,434
Brembio,51-60,382,373,388,409,411
Brembio,61-70,335,334,318,304,320
Brembio,71-80,287,298,311,315,307
Brembio,81+,169,165,173,185,199
Casaletto Lodigiano,0-20,626,608,588,580,583
Casaletto Lodigiano,21-40,773,756,679,675,637
Casaletto Lodigiano,41-50,564,574,574,561,580
Casaletto Lodigiano,51-60,412,426,431,449,475
Casaletto Lodigiano,61-70,287,289,299,291,292
Casaletto Lodigiano,71-80,182,186,196,199,207
Casaletto Lodigiano,81+,152,154,159,156,156
Casalmaiocco,0-20,689,675,668,685,644
Casalmaiocco,21-40,691,705,698,662,676
Casalmaiocco,41-50,592,583,549,542,492
Casalmaiocco,51-60,480,490,510,530,543
Casalmaiocco,61-70,330,344,354,359,369
Casalmaiocco,71-80,227,244,255,272,276
Casalmaiocco,81+,118,117,130,140,145
Casalpusterlengo,0-20,2656,2673,2654,2620,2637
Casalpusterlengo,21-40,3409,3413,3316,3334,3335
Casalpusterlengo,41-50,2563,2482,2375,2320,2234
Casalpusterlengo,51-60,2213,2325,2358,2449,2488
Casalpusterlengo,61-70,1809,1803,1789,1817,1780
Casalpusterlengo,71-80,1582,1568,1592,1581,1598
Casalpusterlengo,81+,1032,1082,1122,1159,1219
Caselle Landi,0-20,213,202,199,191,190
Caselle Landi,21-40,343,330,317,323,307
Caselle Landi,41-50,212,204,195,184,185
Caselle Landi,51-60,269,265,270,259,261
Caselle Landi,61-70,248,245,239,245,253
Caselle Landi,71-80,175,177,185,183,192
Caselle Landi,81+,150,153,150,154,157
Caselle Lurani,0-20,638,599,584,572,570
Caselle Lurani,21-40,726,709,683,680,622
Caselle Lurani,41-50,633,634,601,568,557
Caselle Lurani,51-60,397,432,463,475,516
Caselle Lurani,61-70,340,347,343,327,322
Caselle Lurani,71-80,208,221,236,246,266
Caselle Lurani,81+,118,116,120,122,131
Castelgerundo,0-20,255,250,250,243,250
