"","REG","PROV","NOME_REGIONE","NOME_PROVINCIA","NOME_COMUNE","COD_PROVCOM","TIPO_COMUNE","CL_ETA","GE","M_15","M_16","M_17","M_18","M_19","M_20","F_15","F_16","F_17","F_18","F_19","F_20","T_15","T_16","T_17","T_18","T_19","T_20"
"1",3,98,"Lombardia","Lodi","Bertonico",98002,2,9,1006,0,0,1,0,0,"n.d.",0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d."
"2",3,98,"Lombardia","Lodi","Bertonico",98002,2,11,707,0,0,1,0,0,"n.d.",0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d."
"3",3,98,"Lombardia","Lodi","Bertonico",98002,2,11,717,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"4",3,98,"Lombardia","Lodi","Bertonico",98002,2,12,605,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"5",3,98,"Lombardia","Lodi","Bertonico",98002,2,12,728,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"6",3,98,"Lombardia","Lodi","Bertonico",98002,2,13,209,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"7",3,98,"Lombardia","Lodi","Bertonico",98002,2,13,304,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"8",3,98,"Lombardia","Lodi","Bertonico",98002,2,13,505,0,0,0,0,1,"n.d.",0,0,0,0,0,"n.d.",0,0,0,0,1,"n.d."
"9",3,98,"Lombardia","Lodi","Bertonico",98002,2,13,509,0,0,0,0,1,"n.d.",0,0,0,0,0,"n.d.",0,0,0,0,1,"n.d."
"10",3,98,"Lombardia","Lodi","Bertonico",98002,2,13,1001,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"11",3,98,"Lombardia","Lodi","Bertonico",98002,2,14,510,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"12",3,98,"Lombardia","Lodi","Bertonico",98002,2,14,717,0,0,1,0,0,"n.d.",0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d."
"13",3,98,"Lombardia","Lodi","Bertonico",98002,2,14,918,0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d.",0,0,0,1,0,"n.d."
"14",3,98,"Lombardia","Lodi","Bertonico",98002,2,14,1218,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"15",3,98,"Lombardia","Lodi","Bertonico",98002,2,15,219,0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d.",0,0,0,1,0,"n.d."
"16",3,98,"Lombardia","Lodi","Bertonico",98002,2,15,505,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"17",3,98,"Lombardia","Lodi","Bertonico",98002,2,15,608,0,1,0,0,0,"n.d.",0,0,0,0,0,"n.d.",0,1,0,0,0,"n.d."
"18",3,98,"Lombardia","Lodi","Bertonico",98002,2,15,609,0,0,1,0,0,"n.d.",0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d."
"19",3,98,"Lombardia","Lodi","Bertonico",98002,2,15,626,0,0,1,0,0,"n.d.",0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d."
"20",3,98,"Lombardia","Lodi","Bertonico",98002,2,15,705,0,1,0,0,0,"n.d.",0,0,0,0,0,"n.d.",0,1,0,0,0,"n.d."
"21",3,98,"Lombardia","Lodi","Bertonico",98002,2,15,927,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"22",3,98,"Lombardia","Lodi","Bertonico",98002,2,15,1109,0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d.",0,0,0,1,0,"n.d."
"23",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,220,0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d.",0,0,1,0,0,"n.d."
"24",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,316,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"25",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,320,0,0,0,0,0,"n.d.",0,0,0,0,1,"n.d.",0,0,0,0,1,"n.d."
"26",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,328,0,1,0,0,0,"n.d.",0,0,0,0,0,"n.d.",0,1,0,0,0,"n.d."
"27",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,406,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"28",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,412,1,0,0,0,0,"n.d.",0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"29",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,426,0,0,0,0,0,"n.d.",0,1,0,0,0,"n.d.",0,1,0,0,0,"n.d."
"30",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,705,0,0,1,0,0,"n.d.",0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d."
"31",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,816,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"32",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,925,0,0,0,0,0,"n.d.",0,0,0,0,1,"n.d.",0,0,0,0,1,"n.d."
"33",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,1029,0,0,1,0,0,"n.d.",0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d."
"34",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,1125,0,0,1,0,0,"n.d.",0,0,0,0,0,"n.d.",0,0,1,0,0,"n.d."
"35",3,98,"Lombardia","Lodi","Bertonico",98002,2,16,1203,0,0,0,0,0,"n.d.",1,0,0,0,0,"n.d.",1,0,0,0,0,"n.d."
"36",3,98,"Lombardia","Lodi","Bertonico",98002,2,17,108,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"37",3,98,"Lombardia","Lodi","Bertonico",98002,2,17,220,0,0,0,0,0,"n.d.",0,0,0,0,1,"n.d.",0,0,0,0,1,"n.d."
"38",3,98,"Lombardia","Lodi","Bertonico",98002,2,17,306,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"39",3,98,"Lombardia","Lodi","Bertonico",98002,2,17,309,0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d.",0,0,0,1,0,"n.d."
"40",3,98,"Lombardia","Lodi","Bertonico",98002,2,17,601,0,1,0,0,0,"n.d.",0,0,0,0,0,"n.d.",0,1,0,0,0,"n.d."
"41",3,98,"Lombardia","Lodi","Bertonico",98002,2,17,611,0,0,0,1,0,"n.d.",0,0,0,0,0,"n.d.",0,0,0,1,0,"n.d."
"42",3,98,"Lombardia","Lodi","Bertonico",98002,2,17,1115,0,0,0,0,0,"n.d.",0,1,0,0,0,"n.d.",0,1,0,0,0,"n.d."
