Country,Cases,Deaths,Recovered,Active,Serious,Cases_mln,Deaths_mln,Tests,Tests_mln,Population
USA,1920528,110050,705991,1104487,16991,5805,333,19475353,58863,330859357
Brazil,595112,33038,266132,295942,8318,2801,156,930013,4378,212446884
Russia,441108,5384,204623,231101,2300,3023,37,11733051,80402,145930019
Spain,287740,27133,N/A,N/A,617,6154,580,4063843,86921,46753492
UK,281661,39904,N/A,N/A,604,4151,588,5005565,73763,67859798
Italy,234013,33689,161895,38429,338,3870,557,4049544,66970,60468053
India,226713,6363,108450,111900,8944,164,5,4242718,3077,1378974417
Germany,184923,8736,167800,8387,632,2208,104,4348880,51918,83764536
Peru,183198,5031,76228,101939,1005,5562,153,1135831,34486,32935983
Turkey,167410,4630,131778,31002,602,1987,55,2209583,26220,84269726
Iran,164270,8071,127485,28714,2569,1958,96,1019362,12148,83909638
France,152444,29065,69976,53403,1163,2336,445,1384633,21216,65263122
Chile,118292,1356,90748,26188,1496,6192,71,646458,33839,19103852
Mexico,101238,11729,73271,16238,378,786,91,303461,2356,128829434
Canada,93702,7636,51693,34373,1721,2484,202,1787446,47391,37717219
Saudi Arabia,93157,611,68965,23581,1321,2679,18,887209,25516,34771048
Pakistan,85264,1770,30128,53366,111,387,8,615511,2791,220544600
China,83022,4634,78319,69,3,58,3,,,1439323776
Qatar,63741,45,39468,24228,239,22701,16,241086,85863,2807805
Belgium,58767,9548,16048,33171,143,5072,824,900282,77705,11585939
Bangladesh,57563,781,12161,44621,1,350,5,358277,2177,164564713
Netherlands,46942,5990,N/A,N/A,113,2740,350,378912,22117,17132145
Belarus,45981,253,21162,24566,92,4866,27,585065,61915,9449542
Sweden,41883,4562,N/A,N/A,2143,4149,452,275500,27292,10094604
Ecuador,40966,3486,20019,17461,252,2325,198,119375,6774,17621950
South Africa,40792,848,21311,18633,208,688,14,820675,13851,59250820
UAE,37018,273,19572,17173,1,3746,28,2145493,217129,9881188
Singapore,36922,24,23904,12994,5,6315,4,408495,69865,5846897
Portugal,33592,1455,20323,11814,58,3294,143,847181,83067,10198769
Colombia,33354,1045,12288,20021,335,656,21,362432,7129,50841482
Switzerland,30913,1921,28600,392,27,3574,222,409450,47336,8649901
Kuwait,29921,236,17223,12462,184,7014,55,306006,71738,4265609
Egypt,29767,1126,7756,20885,41,291,11,135000,1321,102178508
Indonesia,28818,1721,8892,18205,,105,6,367640,1345,273302908
Ukraine,25411,747,11042,13622,297,581,17,392316,8967,43751560
Ireland,25142,1664,22698,780,36,5096,337,348416,70622,4933560
Poland,25048,1117,12227,11704,160,662,30,996604,26331,37849522
Philippines,20382,984,4248,15150,82,186,9,389190,3555,109467656
Romania,19907,1306,13919,4682,153,1034,68,472850,24568,19246341
Argentina,19268,588,5993,12687,274,427,13,178448,3951,45164434
Dominican Republic,18319,520,11474,6325,110,1690,48,86285,7960,10839641
Afghanistan,18054,300,1585,16169,19,465,8,43569,1121,38855768
Israel,17495,291,15013,2191,27,1902,32,606596,65952,9197590
Japan,16986,900,14771,1315,101,134,7,300277,2374,126503264
Austria,16805,670,15717,418,22,1867,74,471466,52370,9002608
Panama,14609,357,9519,4733,75,3390,83,71139,16508,4309396
Oman,14316,67,3451,10798,58,2809,13,100181,19660,5095664
Bahrain,13296,21,7728,5547,9,7838,12,345337,203586,1696267
Kazakhstan,12067,52,6606,5409,62,643,3,867286,46232,18759403
Denmark,11811,582,10620,609,17,2040,101,671558,115971,5790721
Bolivia,11638,400,1507,9731,3,998,34,28239,2422,11660610
S. Korea,11629,273,10499,857,15,227,5,973858,18996,51266042
Serbia,11571,246,6910,4415,15,1324,28,261266,29894,8739790
Armenia,11221,176,3468,7577,10,3787,59,63459,21418,2962846
Nigeria,11166,315,3329,7522,7,54,2,69801,339,205710189
Algeria,9831,681,6297,2853,32,225,16,,,43787434
Czechia,9478,325,6808,2345,12,885,30,459448,42909,10707556
Moldova,9018,315,5009,3694,265,2235,78,57003,14128,4034616
Ghana,8885,38,3189,5658,3,286,1,223065,7191,31019835
Iraq,8840,271,4338,4231,50,220,7,272259,6781,40147813
Norway,8488,238,8138,112,6,1567,44,252232,46554,5418068
Malaysia,8247,115,6559,1573,6,255,4,560738,17342,32333861
Morocco,8003,208,7195,600,15,217,6,261010,7078,36876878
Australia,7240,102,6648,490,4,284,4,1533852,60205,25477145
Finland,6911,322,5800,789,7,1247,58,195400,35270,5540104
Cameroon,6789,203,3705,2881,28,256,8,,,26490288
Azerbaijan,6522,78,3737,2707,42,644,8,322574,31836,10132279
Guatemala,5760,143,929,4688,5,322,8,31427,1757,17888866
Sudan,5714,333,1825,3556,,131,8,401,9,43764035
Honduras,5690,234,617,4839,13,575,24,14790,1495,9892136
Tajikistan,4289,48,2401,1840,,451,5,,,9519918
Djibouti,4054,26,1685,2343,,4108,26,33492,33937,986873
Luxembourg,4027,110,3874,43,3,6441,176,82377,131767,625170
Senegal,4021,45,2162,1814,16,241,3,46288,2771,16706455
Hungary,3954,539,2205,1210,24,409,56,195894,20275,9662056
Uzbekistan,3939,16,3087,836,11,118,0.5,460000,13760,33431174
Guinea,3933,23,2332,1578,24,300,2,14407,1100,13102388
DRC,3644,78,495,3071,,41,0.9,,,89323912
Ivory Coast,3262,35,1584,1643,,124,1,29228,1110,26323384
Thailand,3101,58,2968,75,1,44,0.8,420529,6026,69787353
Greece,2952,180,1374,1398,9,283,17,193929,18600,10426532
Gabon,2902,20,801,2081,15,1306,9,14122,6357,2221355
El Salvador,2781,51,1208,1522,59,429,8,99178,15296,6483803
Haiti,2640,50,24,2566,,232,4,5717,502,11391801
Nepal,2634,10,290,2334,,91,0.3,209698,7207,29094730
North Macedonia,2611,147,1621,843,34,1253,71,33114,15894,2083380
Bosnia and Herzegovina,2594,159,1951,484,4,790,48,68706,20933,3282199
Bulgaria,2585,147,1322,1116,8,372,21,193732,27867,6951948
Kenya,2340,78,592,1670,7,44,1,85058,1585,53673567
Croatia,2247,103,2105,39,3,547,25,67997,16556,4106980
Somalia,2204,79,418,1707,2,139,5,,,15855179
Cuba,2119,83,1839,197,4,187,7,112449,9927,11327103
Mayotte,2058,25,1523,510,9,7559,92,7600,27914,272264
Venezuela,1952,20,334,1598,,69,0.7,995522,35002,28441527
Kyrgyzstan,1899,20,1292,587,5,291,3,119124,18283,6515639
Estonia,1890,69,1663,158,,1425,52,87456,65931,1326472
Maldives,1872,7,648,1217,9,3468,13,11775,21814,539782
Iceland,1806,10,1794,2,,5295,29,61355,179885,341079
Sri Lanka,1797,11,839,947,1,84,0.5,70290,3284,21406699
Lithuania,1687,71,1273,343,17,619,26,321040,117825,2724713
Ethiopia,1636,18,250,1368,16,14,0.2,125570,1095,114724281
Slovakia,1526,28,1376,122,,280,5,183764,33660,5459454
New Zealand,1504,22,1481,1,,301,4,286174,57211,5002100
Slovenia,1477,109,1359,9,,710,52,82701,39781,2078918
Mali,1461,85,806,570,,72,4,3483,172,20200490
Guinea-Bissau,1339,8,53,1278,,682,4,1500,764,1964122
Lebanon,1306,28,731,547,4,191,4,90509,13256,6827539
Equatorial Guinea,1306,12,200,1094,,934,9,8268,5910,1398900
CAR,1288,4,23,1261,,267,0.8,15881,3293,4823052
Albania,1197,33,898,266,5,416,11,15647,5437,2878018
Costa Rica,1194,10,687,497,5,235,2,27318,5366,5090604
Nicaragua,1118,46,370,702,,169,7,,,6618484
Hong Kong,1099,4,1041,54,2,147,0.5,202930,27085,7492419
Zambia,1089,7,912,170,1,59,0.4,28236,1540,18339751
Tunisia,1087,49,968,70,1,92,4,53539,4534,11809190
