,measure,sex,age,cause,year,val.Number,val.Percent
90337,Prevalence,Male,Under 5,Diabetes mellitus,2017,97.1921792466,9.04450942619e-05
90338,Prevalence,Female,Under 5,Diabetes mellitus,2017,90.7106479263,7.92645143678e-05
90339,Prevalence,Both,Under 5,Diabetes mellitus,2017,187.902827173,8.46710804195e-05
90343,Prevalence,Male,Early Neonatal,Diabetes mellitus,2017,0,0
90344,Prevalence,Female,Early Neonatal,Diabetes mellitus,2017,0,0
90345,Prevalence,Both,Early Neonatal,Diabetes mellitus,2017,0,0
90349,Prevalence,Male,Late Neonatal,Diabetes mellitus,2017,0,0
90350,Prevalence,Female,Late Neonatal,Diabetes mellitus,2017,0,0
90351,Prevalence,Both,Late Neonatal,Diabetes mellitus,2017,0,0
90355,Prevalence,Male,Post Neonatal,Diabetes mellitus,2017,0,0
90356,Prevalence,Female,Post Neonatal,Diabetes mellitus,2017,0,0
90357,Prevalence,Both,Post Neonatal,Diabetes mellitus,2017,0,0
90361,Prevalence,Male,1 to 4,Diabetes mellitus,2017,97.1921792466,0.0001038468
90362,Prevalence,Female,1 to 4,Diabetes mellitus,2017,90.7106479263,9.14078478067e-05
90363,Prevalence,Both,1 to 4,Diabetes mellitus,2017,187.902827173,9.74356718234e-05
90367,Prevalence,Male,5 to 9,Diabetes mellitus,2017,1021.93201997,0.0006264694
90368,Prevalence,Female,5 to 9,Diabetes mellitus,2017,950.422154576,0.0005836789
90369,Prevalence,Both,5 to 9,Diabetes mellitus,2017,1972.35417455,0.0006050531
90373,Prevalence,Male,10 to 14,Diabetes mellitus,2017,3280.83855441,0.0018988002
90374,Prevalence,Female,10 to 14,Diabetes mellitus,2017,3031.09354505,0.0017535545
90375,Prevalence,Both,10 to 14,Diabetes mellitus,2017,6311.93209945,0.0018260987
90379,Prevalence,Male,15 to 19,Diabetes mellitus,2017,14726.5742253,0.0079183822
90380,Prevalence,Female,15 to 19,Diabetes mellitus,2017,13348.4401457,0.0071745231
90381,Prevalence,Both,15 to 19,Diabetes mellitus,2017,28075.014371,0.0075462503
90385,Prevalence,Male,20 to 24,Diabetes mellitus,2017,43943.0855624,0.0248708749
90386,Prevalence,Female,20 to 24,Diabetes mellitus,2017,39493.7245435,0.0218586885
90387,Prevalence,Both,20 to 24,Diabetes mellitus,2017,83436.8101058,0.0233473626
90391,Prevalence,Male,25 to 29,Diabetes mellitus,2017,61410.1391366,0.0337493349
90392,Prevalence,Female,25 to 29,Diabetes mellitus,2017,53275.7349615,0.0279213365
90393,Prevalence,Both,25 to 29,Diabetes mellitus,2017,114685.874098,0.0307658679
90397,Prevalence,Male,30 to 34,Diabetes mellitus,2017,70704.054655,0.0372039699
90398,Prevalence,Female,30 to 34,Diabetes mellitus,2017,59445.1751018,0.0295081208
90399,Prevalence,Both,30 to 34,Diabetes mellitus,2017,130149.229757,0.0332436932
90403,Prevalence,Male,35 to 39,Diabetes mellitus,2017,79338.9785044,0.0404325894
90404,Prevalence,Female,35 to 39,Diabetes mellitus,2017,64222.615032,0.031293461
90405,Prevalence,Both,35 to 39,Diabetes mellitus,2017,143561.593536,0.0357603341
90409,Prevalence,Male,40 to 44,Diabetes mellitus,2017,94862.049145,0.046039079
90410,Prevalence,Female,40 to 44,Diabetes mellitus,2017,73490.6824135,0.0346955708
90411,Prevalence,Both,40 to 44,Diabetes mellitus,2017,168352.731559,0.0402889211
90415,Prevalence,Male,45 to 49,Diabetes mellitus,2017,130965.362648,0.0607867563
90416,Prevalence,Female,45 to 49,Diabetes mellitus,2017,95465.1729806,0.0429529133
90417,Prevalence,Both,45 to 49,Diabetes mellitus,2017,226430.535629,0.0517311532
90421,Prevalence,Male,50 to 54,Diabetes mellitus,2017,183043.412654,0.0860700723
90422,Prevalence,Female,50 to 54,Diabetes mellitus,2017,127011.082771,0.0573580718
90423,Prevalence,Both,50 to 54,Diabetes mellitus,2017,310054.495425,0.071424103
90427,Prevalence,Male,55 to 59,Diabetes mellitus,2017,247061.511029,0.1228150827
90428,Prevalence,Female,55 to 59,Diabetes mellitus,2017,169715.034391,0.079688884
90429,Prevalence,Both,55 to 59,Diabetes mellitus,2017,416776.54542,0.1006373078
90433,Prevalence,Male,60 to 64,Diabetes mellitus,2017,312695.618245,0.1653043718
