ages,gender,outcome,0%,1%,2%,3%,4%,5%,6%,7%,8%,9%,10%,11%,12%,13%,14%,15%,16%,17%,18%,19%,20%,21%,22%,23%,24%,25%,26%,27%,28%,29%,30%,31%,32%,33%,34%,35%,36%,37%,38%,39%,40%,41%,42%,43%,44%,45%,46%,47%,48%,49%,50%,51%,52%,53%,54%,55%,56%,57%,58%,59%,60%,61%,62%,63%,64%,65%,66%,67%,68%,69%,70%,71%,72%,73%,74%,75%,76%,77%,78%,79%,80%,81%,82%,83%,84%,85%,86%,87%,88%,89%,90%,91%,92%,93%,94%,95%,96%,97%,98%,99%,100%
0 to 19,f,death,7.34E-005,0.000137274,0.0001490534,0.0001572019,0.0001632445,0.000168282,0.0001728208,0.0001768161,0.000180645,0.0001838744,0.0001868908,0.0001897992,0.0001925125,0.0001951569,0.0001975886,0.0001999381,0.0002023044,0.0002045685,0.0002067279,0.0002088318,0.000210873,0.0002128439,0.0002148037,0.000216712,0.0002186187,0.0002205194,0.0002223948,0.0002242257,0.0002259529,0.0002276807,0.0002295265,0.0002312512,0.0002329463,0.0002346513,0.0002363263,0.0002380076,0.0002397361,0.0002414653,0.0002431779,0.0002448989,0.0002465908,0.0002482224,0.0002498053,0.0002514841,0.0002531366,0.0002547898,0.0002564558,0.0002580973,0.0002597987,0.0002615177,0.0002632265,0.0002649316,0.0002666017,0.0002683157,0.0002700394,0.0002717507,0.0002734958,0.0002752448,0.0002770338,0.0002787447,0.0002805922,0.0002824121,0.0002842408,0.0002861422,0.0002880944,0.0002900942,0.0002920466,0.0002940552,0.0002961093,0.0002981545,0.000300226,0.0003023603,0.0003044635,0.0003066825,0.000308948,0.0003112367,0.0003136377,0.0003161464,0.0003186844,0.0003212455,0.0003240142,0.0003268799,0.0003297929,0.0003327759,0.0003359169,0.0003392987,0.0003427742,0.0003466129,0.0003507222,0.0003549819,0.0003596329,0.0003646189,0.0003700228,0.0003761285,0.0003828982,0.0003908752,0.0004003523,0.0004124405,0.0004287398,0.0004565955,0.0007156371
20 to 29,f,death,0.0001218869,0.0002527152,0.0002747113,0.0002891248,0.0003003671,0.0003095487,0.0003175576,0.0003246548,0.0003313357,0.0003374671,0.0003431672,0.000348544,0.0003536268,0.0003581496,0.0003626688,0.0003670771,0.0003712004,0.0003752132,0.000379246,0.0003830856,0.0003868896,0.0003904234,0.0003938843,0.0003975714,0.0004012546,0.00040468,0.0004081625,0.0004113902,0.0004146347,0.0004178346,0.0004211286,0.0004242955,0.0004274842,0.0004306018,0.000433718,0.00043681,0.0004399441,0.0004429794,0.0004460357,0.0004490524,0.0004520962,0.0004550985,0.0004581384,0.0004612273,0.0004642251,0.0004672998,0.0004703521,0.0004735075,0.0004765253,0.0004795708,0.0004826863,0.0004857943,0.0004888421,0.0004919889,0.0004951292,0.0004984188,0.0005015327,0.0005047499,0.0005080393,0.0005113046,0.0005147101,0.0005180842,0.0005214886,0.0005249326,0.0005282892,0.0005318803,0.0005354533,0.0005389138,0.0005426245,0.000546504,0.000550281,0.0005540923,0.0005581075,0.0005622791,0.000566485,0.0005708058,0.0005751374,0.0005795534,0.0005842535,0.0005890741,0.0005940699,0.000599361,0.0006045601,0.0006100999,0.0006157408,0.0006219759,0.0006286262,0.000635547,0.0006428159,0.0006505276,0.0006591033,0.0006681295,0.0006776383,0.00068887,0.0007017634,0.0007162963,0.0007341298,0.0007554026,0.0007848108,0.0008330624,0.0013790044
30 to 39,f,death,0.0003778703,0.0007150271,0.0007758844,0.0008159002,0.0008471819,0.0008733049,0.000895786,0.0009166121,0.0009339048,0.0009509074,0.0009666252,0.0009811191,0.0009951738,0.0010083343,0.0010205865,0.0010331996,0.0010446396,0.0010557666,0.0010667563,0.0010771506,0.0010876056,0.0010974177,0.0011075006,0.0011168969,0.001126146,0.0011357476,0.0011453753,0.0011547904,0.0011641961,0.0011728894,0.0011818802,0.0011902522,0.0011991031,0.001207684,0.0012159918,0.0012246514,0.0012331036,0.0012415586,0.0012497037,0.0012578057,0.0012662622,0.0012745326,0.0012826843,0.0012910289,0.0012994069,0.0013078107,0.0013162433,0.0013244253,0.0013329187,0.0013413595,0.001349478,0.0013576147,0.0013662438,0.0013744755,0.0013829611,0.0013915009,0.0014004364,0.001409322,0.0014182915,0.0014270688,0.0014360639,0.001445421,0.0014545971,0.0014639107,0.0014730418,0.0014823295,0.0014921971,0.0015022522,0.0015121615,0.0015221819,0.0015328946,0.0015431912,0.0015543554,0.0015653504,0.0015759926,0.0015874987,0.0015991951,0.0016111052,0.0016239714,0.001637336,0.0016510391,0.0016652422,0.001679419,0.0016942967,0.0017099531,0.0017264636,0.0017438924,0.0017619455,0.0017812903,0.0018025258,0.0018254569,0.0018499362,0.0018771395,0.0019062358,0.0019391381,0.0019784883,0.0020244921,0.0020825758,0.0021626889,0.0022865412,0.0035747469
40 to 49,f,death,0.0007362816,0.0013763482,0.0014940614,0.0015730712,0.0016316123,0.0016815463,0.0017239097,0.0017634408,0.0017970498,0.0018297473,0.0018600662,0.0018870339,0.0019139508,0.0019395017,0.0019638249,0.0019861474,0.0020080215,0.0020296102,0.0020511538,0.0020710326,0.0020907967,0.0021105165,0.0021290372,0.0021473782,0.0021650669,0.0021833791,0.0022007812,0.002218067,0.0022351316,0.0022523353,0.0022682415,0.0022853564,0.0023019789,0.0023187142,0.002335259,0.0023511885,0.0023671452,0.0023835598,0.002399652,0.0024157213,0.0024314468,0.0024469714,0.0024630608,0.0024789743,0.0024945549,0.0025104749,0.0025266142,0.0025423712,0.0025579113,0.0025732092,0.0025892846,0.0026052752,0.0026216796,0.0026374998,0.002653613,0.0026702477,0.0026860869,0.0027025459,0.0027194813,0.0027363659,0.0027532649,0.0027710875,0.002788063,0.0028061362,0.0028229644,0.0028415327,0.002860288,0.0028798913,0.002898617,0.0029175213,0.0029371254,0.002956645,0.002976199,0.0029965234,0.0030179663,0.0030399221,0.0030619892,0.0030854613,0.0031084089,0.0031329537,0.003158978,0.0031857939,0.0032131345,0.003241014,0.003270855,0.0033020588,0.003335128,0.0033685479,0.0034065664,0.0034472585,0.003491092,0.0035363691,0.0035880629,0.0036455265,0.003708337,0.0037809526,0.003866302,0.0039765288,0.0041233902,0.004365591,0.0069074274
50 to 59,f,death,0.0018306067,0.0034621212,0.003759539,0.0039566396,0.0041072046,0.004231352,0.0043389063,0.0044373808,0.0045253496,0.0046058972,0.0046802592,0.0047494244,0.0048155379,0.0048787966,0.0049373749,0.004995104,0.0050504264,0.0051034379,0.0051564524,0.0052073611,0.0052585178,0.005307029,0.0053547887,0.0054012564,0.005446748,0.0054919004,0.0055358104,0.0055803574,0.0056231666,0.0056660253,0.0057090048,0.0057490271,0.0057905383,0.005831386,0.0058714202,0.0059117074,0.0059509067,0.0059908866,0.0060310515,0.0060701048,0.0061099921,0.0061488216,0.0061886014,0.0062272573,0.0062661615,0.0063063138,0.0063465581,0.0063863778,0.0064256996,0.0064656207,0.0065061587,0.0065446858,0.0065853527,0.0066262113,0.0066660751,0.006708281,0.0067496425,0.0067925348,0.0068348173,0.0068766873,0.0069202937,0.0069635998,0.007008032,0.007051211,0.007095873,0.0071405687,0.0071881414,0.0072343987,0.0072800226,0.007329052,0.0073764728,0.0074268261,0.0074779731,0.0075301354,0.0075825647,0.0076365325,0.0076930356,0.0077503534,0.0078090075,0.0078706391,0.0079322177,0.0079957323,0.0080650747,0.0081366946,0.0082124443,0.0082899403,0.008373554,0.0084617317,0.0085533295,0.0086543021,0.0087664604,0.0088820716,0.0090071527,0.0091498907,0.0093037007,0.0094812256,0.0096977007,0.0099746219,0.0103412577,0.0109483778,0.0168312987
60 to 69,f,death,0.0039684019,0.0075826011,0.0082265921,0.008644013,0.0089773444,0.00925919,0.0094922996,0.0097044029,0.0098887961,0.0100709562,0.0102314876,0.0103768015,0.0105213096,0.0106562628,0.0107927402,0.0109174521,0.0110397366,0.0111558037,0.011266596,0.0113787914,0.0114906323,0.0115977936,0.0116985803,0.0117949605,0.0118963695,0.0119957247,0.0120951035,0.0121895599,0.0122874614,0.0123809338,0.0124743022,0.0125620122,0.0126498121,0.0127381876,0.0128296797,0.0129156555,0.0130033154,0.0130908143,0.0131763278,0.0132654532,0.0133504463,0.0134354677,0.0135243766,0.0136095341,0.0136959372,0.0137808739,0.0138645751,0.0139539598,0.0140421895,0.0141270126,0.0142125871,0.0142999741,0.0143827987,0.0144728618,0.0145670763,0.0146551805,0.0147454781,0.0148335412,0.0149268639,0.015018913,0.0151121084,0.015210257,0.0153078387,0.0154041139,0.0155003603,0.0155999759,0.0157001148,0.0158033827,0.0159077474,0.0160117745,0.0161141312,0.016219671,0.016332644,0.0164461819,0.0165620095,0.0166792547,0.0167990668,0.016925069,0.0170538726,0.017179782,0.0173201351,0.0174648809,0.0176152358,0.0177748532,0.0179313762,0.0181047714,0.01828292,0.018473647,0.0186800833,0.0188943274,0.019127073,0.0193818391,0.0196641291,0.019965627,0.0202991283,0.0206930559,0.021180964,0.0217568834,0.0225779331,0.0239274663,0.03587648
70 to 79,f,death,0.0052113146,0.0094986624,0.0103111258,0.010842062,0.0112660095,0.0116116033,0.0119055125,0.0121638275,0.0124002434,0.0126342243,0.012836933,0.0130177503,0.0131958974,0.0133642575,0.013525508,0.0136845286,0.0138457871,0.0139891091,0.014132617,0.0142682097,0.0144025409,0.0145357792,0.0146653598,0.0147882376,0.0149137634,0.0150386256,0.0151634329,0.0152845263,0.0154051582,0.0155171988,0.0156293444,0.0157425591,0.0158573585,0.0159709672,0.0160846821,0.0161968095,0.0163019829,0.0164139734,0.0165226093,0.0166337743,0.016741582,0.0168518835,0.0169619647,0.0170663262,0.0171759818,0.0172828027,0.0173927677,0.0174985495,0.0176035097,0.0177134876,0.0178206011,0.0179303798,0.0180405233,0.0181553813,0.0182667222,0.018380121,0.0184939051,0.0186084793,0.0187231824,0.0188377348,0.0189523596,0.0190731824,0.0191949912,0.0193144323,0.0194344473,0.0195630847,0.0196855979,0.0198122148,0.0199428103,0.0200792148,0.0202124971,0.0203455538,0.0204864002,0.0206248475,0.0207711105,0.0209223028,0.0210693609,0.0212265466,0.0213856991,0.0215511155,0.0217277752,0.0219111567,0.0220984886,0.0222879367,0.0224886738,0.0226983809,0.0229273717,0.0231721197,0.0234289195,0.0236974801,0.0239971043,0.0243154871,0.0246622594,0.0250470443,0.0254674495,0.025961073,0.0265539201,0.02729274,0.0283114231,0.0300074417,0.0458845208
80 to 100,f,death,0.0027398624,0.0052723886,0.005717359,0.0060089793,0.0062399885,0.0064334062,0.0066033774,0.0067490996,0.0068811284,0.0070021311,0.0071163422,0.0072213824,0.007319658,0.0074160583,0.0075072134,0.0075963681,0.0076806011,0.0077622932,0.007840502,0.0079181513,0.0079923803,0.0080663889,0.0081367796,0.0082092381,0.0082786226,0.0083477978,0.0084149461,0.0084811943,0.0085474865,0.008612744,0.0086755861,0.0087407309,0.0088008937,0.0088636351,0.0089243961,0.0089849777,0.0090490918,0.0091081968,0.0091688197,0.0092298625,0.0092882884,0.0093474081,0.0094082334,0.0094669977,0.0095271433,0.0095882458,0.0096487466,0.0097094901,0.0097713749,0.0098353637,0.0098958207,0.0099570347,0.010019345,0.0100820105,0.0101442842,0.0102065077,0.0102695964,0.0103338083,0.0103964395,0.010460402,0.0105266764,0.0105945842,0.0106619098,0.0107311714,0.0108003382,0.0108666454,0.0109376768,0.0110103448,0.0110796189,0.0111541528,0.0112291939,0.0113031421,0.0113791547,0.0114575644,0.0115379237,0.0116199232,0.0117029345,0.0117915874,0.0118805984,0.0119734103,0.0120695285,0.0121718651,0.0122762789,0.0123839853,0.0124983688,0.0126165751,0.0127408052,0.0128776604,0.013021672,0.0131734437,0.0133335648,0.013506537,0.0137061194,0.013917522,0.0141614053,0.0144334473,0.0147696407,0.0151832127,0.0157647194,0.0166960174,0.0256322667
0 to 19,f,hosp,0.0004319492,0.0008380935,0.0009064406,0.0009546116,0.0009895363,0.0010204002,0.001046978,0.0010705479,0.001091152,0.001111213,0.0011298102,0.001147276,0.00116354,0.0011790395,0.0011935893,0.001207649,0.0012214462,0.001235264,0.001248478,0.0012613575,0.0012732918,0.001285262,0.001297076,0.0013087022,0.0013204639,0.0013312682,0.0013419939,0.001352755,0.0013632414,0.00137389,0.0013840169,0.0013942857,0.0014044091,0.0014148391,0.0014249042,0.0014351499,0.0014445646,0.0014547531,0.0014646633,0.0014749782,0.0014846907,0.0014945172,0.0015041731,0.0015138865,0.0015237811,0.0015330986,0.0015427414,0.0015521324,0.0015619945,0.0015712611,0.0015811005,0.0015909825,0.0016005065,0.0016102277,0.0016201466,0.0016301955,0.0016401418,0.0016504387,0.0016610097,0.0016715417,0.0016819501,0.0016926005,0.0017035517,0.0017144235,0.0017256005,0.0017364449,0.0017482162,0.0017603264,0.0017722798,0.0017842596,0.0017965865,0.0018091811,0.0018220795,0.0018346452,0.0018478226,0.0018615375,0.001875585,0.0018897466,0.0019042597,0.0019189755,0.001934396,0.001950844,0.0019679886,0.0019855527,0.0020034348,0.0020229507,0.0020434909,0.0020646012,0.002087392,0.0021113601,0.0021379666,0.0021660376,0.0021967058,0.0022318438,0.0022707826,0.0023151734,0.002368756,0.0024377846,0.0025283663,0.0026801664,0.0041810899
