"","probability","ages","case","status","value","Gender.1","outc","gend"
"1",0.025,"20 to 29","meta","healthy",3.88762764072319e-05,"F","death","f"
"2",0.5,"20 to 29","meta","healthy",6.34765773073344e-05,"F","death","f"
"3",0.95,"20 to 29","meta","healthy",9.4686059702632e-05,"F","death","f"
"4",0.975,"20 to 29","meta","healthy",0.000102784845282935,"F","death","f"
"5",0.025,"30 to 39","meta","healthy",9.48078848846788e-05,"F","death","f"
"6",0.5,"30 to 39","meta","healthy",0.000154409103712826,"F","death","f"
"7",0.95,"30 to 39","meta","healthy",0.000219419140193617,"F","death","f"
"8",0.975,"30 to 39","meta","healthy",0.000235137320920421,"F","death","f"
"9",0.025,"20 to 29","best","healthy",1.03629825134251e-05,"F","death","f"
"10",0.5,"20 to 29","best","healthy",2.10686176469024e-05,"F","death","f"
"11",0.95,"20 to 29","best","healthy",3.74797120949051e-05,"F","death","f"
"12",0.975,"20 to 29","best","healthy",4.14539361109192e-05,"F","death","f"
"13",0.025,"30 to 39","best","healthy",2.57473406073065e-05,"F","death","f"
"14",0.5,"30 to 39","best","healthy",5.08205308841936e-05,"F","death","f"
"15",0.95,"30 to 39","best","healthy",8.86818299865111e-05,"F","death","f"
"16",0.975,"30 to 39","best","healthy",9.78422174321506e-05,"F","death","f"
"17",0.025,"20 to 29","meta","all",8.62197575577341e-05,"F","death","f"
"18",0.5,"20 to 29","meta","all",0.000116804371358854,"F","death","f"
"19",0.95,"20 to 29","meta","all",0.000150171180813065,"F","death","f"
"20",0.975,"20 to 29","meta","all",0.000159237414642132,"F","death","f"
"21",0.025,"30 to 39","meta","all",0.000246350481661974,"F","death","f"
"22",0.5,"30 to 39","meta","all",0.000332610307325163,"F","death","f"
"23",0.95,"30 to 39","meta","all",0.000427038598102504,"F","death","f"
"24",0.975,"30 to 39","meta","all",0.000451663602753687,"F","death","f"
"25",0.025,"20 to 29","best","all",2.16728992337958e-05,"F","death","f"
"26",0.5,"20 to 29","best","all",3.88098141608513e-05,"F","death","f"
"27",0.95,"20 to 29","best","all",6.30877622378888e-05,"F","death","f"
"28",0.975,"20 to 29","best","all",6.86085182564753e-05,"F","death","f"
"29",0.025,"30 to 39","best","all",2.10809142780206e-05,"F","death","f"
"30",0.5,"30 to 39","best","all",3.7749742507686e-05,"F","death","f"
"31",0.95,"30 to 39","best","all",6.13645499562521e-05,"F","death","f"
"32",0.975,"30 to 39","best","all",6.67345091445551e-05,"F","death","f"
"33",0.025,"20 to 29","meta","healthy",7.61225440482777e-05,"F","death","m"
"34",0.5,"20 to 29","meta","healthy",0.000124291701743652,"F","death","m"
"35",0.95,"20 to 29","meta","healthy",0.000185402111945336,"F","death","m"
"36",0.975,"20 to 29","meta","healthy",0.000201260116338975,"F","death","m"
"37",0.025,"30 to 39","meta","healthy",0.000193516086848057,"F","death","m"
"38",0.5,"30 to 39","meta","healthy",0.000315170468791365,"F","death","m"
"39",0.95,"30 to 39","meta","healthy",0.000447865000273789,"F","death","m"
"40",0.975,"30 to 39","meta","healthy",0.000479947994534462,"F","death","m"
"41",0.025,"20 to 29","best","healthy",2.02914647634049e-05,"F","death","m"
"42",0.5,"20 to 29","best","healthy",4.12538679904102e-05,"F","death","m"
"43",0.95,"20 to 29","best","healthy",7.33879707247487e-05,"F","death","m"
"44",0.975,"20 to 29","best","healthy",8.11697870578705e-05,"F","death","m"
"45",0.025,"30 to 39","best","healthy",5.25539052699109e-05,"F","death","m"
"46",0.5,"30 to 39","best","healthy",0.000103731775898307,"F","death","m"
"47",0.95,"30 to 39","best","healthy",0.00018101195627757,"F","death","m"
"48",0.975,"30 to 39","best","healthy",0.000199709581845828,"F","death","m"
"49",0.025,"20 to 29","meta","all",0.000168824483697197,"F","death","m"
"50",0.5,"20 to 29","meta","all",0.000228711356269238,"F","death","m"
"51",0.95,"20 to 29","meta","all",0.000294045967944037,"F","death","m"
"52",0.975,"20 to 29","meta","all",0.00031179830555929,"F","death","m"
"53",0.025,"30 to 39","meta","all",0.000502835616070824,"F","death","m"
"54",0.5,"30 to 39","meta","all",0.00067890392446986,"F","death","m"
"55",0.95,"30 to 39","meta","all",0.000871645206919192,"F","death","m"
"56",0.975,"30 to 39","meta","all",0.000921908268314438,"F","death","m"
"57",0.025,"20 to 29","best","all",4.24370947797769e-05,"F","death","m"
"58",0.5,"20 to 29","best","all",7.59924061918468e-05,"F","death","m"
"59",0.95,"20 to 29","best","all",0.000123530373885489,"F","death","m"
"60",0.975,"20 to 29","best","all",0.000134340411060923,"F","death","m"
"61",0.025,"30 to 39","best","all",4.30290797355521e-05,"F","death","m"
"62",0.5,"30 to 39","best","all",7.70524778450121e-05,"F","death","m"
"63",0.95,"30 to 39","best","all",0.000125253586167125,"F","death","m"
"64",0.975,"30 to 39","best","all",0.000136214420172843,"F","death","m"
"65",0.025,"20 to 29","meta","healthy",5.74994102277548e-05,"F","death","b"
"66",0.5,"20 to 29","meta","healthy",9.38841395254934e-05,"F","death","b"
