Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,Number of COVID-19 Deaths,Flag
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,102,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,532,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,"1,346",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,"3,710",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,"8,890",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,"14,495",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,"17,190",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,"18,198",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,Not stated,2,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Influenza and pneumonia,J09-J18,All ages,"64,465",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,22,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,57,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,128,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,388,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,"1,403",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,"3,056",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,"4,044",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,"3,848",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,Not stated,1,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,All ages,"12,947",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,58,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,222,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,582,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,"1,719",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,"3,621",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,"5,527",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,"5,102",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,"4,221",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,Not stated,2,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Adult respiratory distress syndrome,J80,All ages,"21,054",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,0-24,90,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,25-34,371,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,35-44,954,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,45-54,"2,803",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,55-64,"6,788",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,65-74,"11,884",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,75-84,"14,348",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,85+,"14,804",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,Not stated,3,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory failure,J96,All ages,"52,045",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,0-24,5,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,25-34,20,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,35-44,61,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,45-54,157,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,55-64,342,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,65-74,642,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,75-84,854,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,85+,"1,077",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Respiratory arrest,R09.2,All ages,"3,158",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,17,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,41,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,103,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,261,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,652,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,"1,106",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,"1,437",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,"1,694",
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",Not stated,0,
08/23/2020,02/01/2020,08/22/2020,US,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",All ages,"5,311",
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,13,
08/23/2020,02/01/2020,08/22/2020,US,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,94,
